Período,Índice de Inflación,Índice de Salarios
 2010  ene - mar,31.206909295166668
 2011  ene - mar,32.26635578483333
 2012  ene - mar,31.54703324973333
 2013  ene - mar,33.93502596173334
 2014  ene - mar,39.183783343866665
 2015  ene - mar,30.1610786896
 2016  ene - mar,30.633333333333336
 2017  ene - mar,30.566666666666666
 2018  ene - mar,28.2
 2019  ene - mar,38.96666666666666
 2020  ene - mar,33.800000000000004
 2010  ene - mar,31.206909295166668
 2011  ene - mar,32.26635578483333
 2012  ene - mar,31.54703324973333
 2013  ene - mar,33.93502596173334
 2014  ene - mar,39.183783343866665
 2015  ene - mar,30.1610786896
 2016  ene - mar,30.633333333333336
 2017  ene - mar,30.566666666666666
 2018  ene - mar,28.2
 2019  ene - mar,38.96666666666666
 2020  ene - mar,33.800000000000004
 2010  ene - mar,31.206909295166668
 2011  ene - mar,32.26635578483333
 2012  ene - mar,31.54703324973333
 2013  ene - mar,33.93502596173334
 2014  ene - mar,39.183783343866665
 2015  ene - mar,30.1610786896
 2016  ene - mar,30.633333333333336
 2017  ene - mar,30.566666666666666
 2018  ene - mar,28.2
 2019  ene - mar,38.96666666666666
 2020  ene - mar,33.800000000000004
 2010  ene - mar,31.206909295166668
 2011  ene - mar,32.26635578483333
 2012  ene - mar,31.54703324973333
 2013  ene - mar,33.93502596173334
 2014  ene - mar,39.183783343866665
 2015  ene - mar,30.1610786896
 2016  ene - mar,30.633333333333336
 2017  ene - mar,30.566666666666666
 2018  ene - mar,28.2
 2019  ene - mar,38.96666666666666
 2020  ene - mar,33.800000000000004
 2010  ene - mar,31.206909295166668
 2011  ene - mar,32.26635578483333
 2012  ene - mar,31.54703324973333
 2013  ene - mar,33.93502596173334
 2014  ene - mar,39.183783343866665
 2015  ene - mar,30.1610786896
 2016  ene - mar,30.633333333333336
 2017  ene - mar,30.566666666666666
 2018  ene - mar,28.2
 2019  ene - mar,38.96666666666666
 2020  ene - mar,33.800000000000004
 2010  ene - mar,31.206909295166668
 2011  ene - mar,32.26635578483333
 2012  ene - mar,31.54703324973333
 2013  ene - mar,33.93502596173334
 2014  ene - mar,39.183783343866665
 2015  ene - mar,30.1610786896
 2016  ene - mar,30.633333333333336
 2017  ene - mar,30.566666666666666
 2018  ene - mar,28.2
 2019  ene - mar,38.96666666666666
 2020  ene - mar,33.800000000000004
 2010  ene - mar,31.206909295166668
 2011  ene - mar,32.26635578483333
 2012  ene - mar,31.54703324973333
 2013  ene - mar,33.93502596173334
 2014  ene - mar,39.183783343866665
 2015  ene - mar,30.1610786896
 2016  ene - mar,30.633333333333336
 2017  ene - mar,30.566666666666666
 2018  ene - mar,28.2
 2019  ene - mar,38.96666666666666
 2020  ene - mar,33.800000000000004
 2010  ene - mar,31.206909295166668
 2011  ene - mar,32.26635578483333
 2012  ene - mar,31.54703324973333
 2013  ene - mar,33.93502596173334
 2014  ene - mar,39.183783343866665
 2015  ene - mar,30.1610786896
 2016  ene - mar,30.633333333333336
 2017  ene - mar,30.566666666666666
 2018  ene - mar,28.2
 2019  ene - mar,38.96666666666666
 2020  ene - mar,33.800000000000004
 2010  ene - mar,31.206909295166668
 2011  ene - mar,32.26635578483333
 2012  ene - mar,31.54703324973333
 2013  ene - mar,33.93502596173334
 2014  ene - mar,39.183783343866665
 2015  ene - mar,30.1610786896
 2016  ene - mar,30.633333333333336
 2017  ene - mar,30.566666666666666
 2018  ene - mar,28.2
 2019  ene - mar,38.96666666666666
 2020  ene - mar,33.800000000000004
 2010  ene - mar,31.206909295166668
 2011  ene - mar,32.26635578483333
 2012  ene - mar,31.54703324973333
 2013  ene - mar,33.93502596173334
 2014  ene - mar,39.183783343866665
 2015  ene - mar,30.1610786896
 2016  ene - mar,30.633333333333336
 2017  ene - mar,30.566666666666666
 2018  ene - mar,28.2
 2019  ene - mar,38.96666666666666
 2020  ene - mar,33.800000000000004
 2010  ene - mar,31.206909295166668
 2011  ene - mar,32.26635578483333
 2012  ene - mar,31.54703324973333
 2013  ene - mar,33.93502596173334
 2014  ene - mar,39.183783343866665
 2015  ene - mar,30.1610786896
 2016  ene - mar,30.633333333333336
 2017  ene - mar,30.566666666666666
 2018  ene - mar,28.2
 2019  ene - mar,38.96666666666666
 2020  ene - mar,33.800000000000004
